Sand[w%] Clay[w%] Silt[w%] OC[w%] b[-] Psi_s[m] theta_s[m3/m3] wp[m3.m-3] K_s[ms-1] ATAU5 BTAU5 WP_SRF PORO_SRF ATAU_2cm BTAU_2cm
 86.667  6.667  6.667  1.123  2.3774 -0.1581  0.4228  0.0235  0.21996E-04   0.0179111   0.0597315  0.0235  0.4228   0.0077745   0.0388527
 83.333  3.333 13.333  1.123  2.3773 -0.2058  0.4400  0.0273  0.14501E-04   0.0215468   0.0646316  0.0273  0.4400   0.0096317   0.0440762
 76.667  6.667 16.667  1.123  2.8350 -0.1935  0.4315  0.0410  0.11360E-04   0.0243145   0.0680934  0.0410  0.4315   0.0108359   0.0467810
 73.333  3.333 23.333  1.123  2.5792 -0.2538  0.4421  0.0369  0.88676E-05   0.0248567   0.0713640  0.0369  0.4421   0.0113670   0.0506734
 66.667  6.667 26.667  1.123  3.0039 -0.2455  0.4351  0.0511  0.74004E-05   0.0266751   0.0751921  0.0511  0.4351   0.0122322   0.0540482
 63.333  3.333 33.333  1.123  2.6478 -0.3212  0.4422  0.0431  0.58547E-05   0.0264704   0.0775200  0.0431  0.4422   0.0123554   0.0569066
 56.667  6.667 36.667  1.123  3.0524 -0.3154  0.4372  0.0576  0.50311E-05   0.0280102   0.0814845  0.0576  0.4372   0.0131263   0.0605553
 53.333  3.333 43.333  1.123  2.6484 -0.4121  0.4418  0.0473  0.38924E-05   0.0277698   0.0829191  0.0473  0.4418   0.0131324   0.0622850
 46.667  6.667 46.667  1.123  3.0351 -0.4063  0.4388  0.0622  0.34030E-05   0.0294342   0.0864170  0.0622  0.4388   0.0139387   0.0654821
 43.333  3.333 53.333  1.123  2.6090 -0.5313  0.4413  0.0504  0.25406E-05   0.0294239   0.0869381  0.0504  0.4413   0.0139392   0.0660685
 36.667  6.667 56.667  1.123  2.9779 -0.5220  0.4405  0.0654  0.22457E-05   0.0315703   0.0894127  0.0654  0.4405   0.0149055   0.0681584
 33.333  3.333 63.333  1.123  2.5448 -0.6844  0.4412  0.0526  0.16083E-05   0.0319706   0.0890145  0.0526  0.4412   0.0149729   0.0674644
 26.667  6.667 66.667  1.123  2.8957 -0.6654  0.4423  0.0676  0.14316E-05   0.0348889   0.0901547  0.0676  0.4423   0.0161793   0.0680902
 23.333  3.333 73.333  1.123  2.4648 -0.8759  0.4414  0.0543  0.98080E-06   0.0359025   0.0889721  0.0543  0.4414   0.0163761   0.0661824
 16.667  6.667 76.667  1.123  2.7974 -0.8385  0.4445  0.0691  0.87634E-06   0.0400989   0.0887514  0.0691  0.4445   0.0179804   0.0651964
 13.333  3.333 83.333  1.123  2.3751 -1.1086  0.4422  0.0555  0.57369E-06   0.0420747   0.0870581  0.0555  0.4422   0.0184039   0.0622588
  6.667  6.667 86.667  1.123  2.6893 -1.0407  0.4470  0.0699  0.51317E-06   0.0482127   0.0858317  0.0699  0.4470   0.0205899   0.0598727
  3.333  3.333 93.333  1.123  2.2797 -1.3816  0.4436  0.0563  0.32091E-06   0.0517878   0.0841077  0.0563  0.4436   0.0214364   0.0562576
 33.333 33.333 33.333 35.000  3.4130 -1.7600  0.8000  0.2162  0.78600E-06   0.2157927   0.1091980  0.2162  0.8000   0.1044097   0.0876193
